Latitude (decimal degrees):	53.424
Longitude (decimal degrees):	-6.252
Elevation (m):	61
Radiation database:	PVGIS-SARAH3


Slope: 90 deg. 
Azimuth: 90 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230606:0111,0.0,0.0,0.0,0.0,12.39,2.28,0.0
20230606:0211,0.0,0.0,0.0,0.0,12.14,2.14,0.0
20230606:0311,0.0,0.0,0.0,0.0,11.77,1.86,0.0
20230606:0411,0.0,0.0,0.0,0.0,11.25,1.59,0.0
20230606:0511,0.0,15.66,4.4,7.95,11.26,1.38,0.0
20230606:0611,0.0,28.12,7.9,16.22,12.81,1.1,0.0
20230606:0711,0.0,0.0,0.0,0.0,14.2,1.59,0.0
20230606:0811,0.0,44.14,12.4,33.91,14.96,2.28,0.0
20230606:0911,0.0,56.96,16.0,42.56,15.49,2.83,0.0
20230606:1011,0.0,111.43,31.3,50.34,15.91,3.17,0.0
20230606:1111,0.0,132.08,37.1,56.3,16.17,3.52,0.0
20230606:1211,0.0,98.61,27.7,59.14,16.2,3.79,0.0
20230606:1311,1.79,165.81,34.0,57.93,16.31,3.93,0.0
20230606:1411,2.09,146.03,29.6,53.11,16.21,4.14,0.0
20230606:1511,6.86,141.38,28.8,45.95,16.0,4.14,0.0
20230606:1611,68.46,166.7,34.3,37.57,15.73,4.07,0.0
20230606:1711,431.04,188.01,40.4,28.7,15.26,3.72,0.0
20230606:1811,464.64,157.58,27.8,19.82,14.8,3.45,0.0
20230606:1911,317.92,114.81,13.7,11.3,13.47,3.52,0.0
20230606:2011,0.0,2.99,0.6,3.47,12.86,3.17,0.0
20230606:2111,0.0,0.0,0.0,0.0,12.38,2.76,0.0
20230606:2211,0.0,0.0,0.0,0.0,12.01,2.62,0.0
20230606:2311,0.0,0.0,0.0,0.0,11.81,2.55,0.0
20230607:0011,0.0,0.0,0.0,0.0,11.71,2.62,0.0
20230607:0111,0.0,0.0,0.0,0.0,11.52,2.76,0.0
20230607:0211,0.0,0.0,0.0,0.0,11.55,2.76,0.0
