Latitude (decimal degrees):	53.424
Longitude (decimal degrees):	-6.252
Elevation (m):	61
Radiation database:	PVGIS-SARAH3


Slope: 90 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230409:0311,0.0,0.0,0.0,0.0,8.46,6.14,0.0
20230409:0411,0.0,0.0,0.0,0.0,8.31,6.28,0.0
20230409:0511,0.0,0.0,0.0,0.0,8.29,6.41,0.0
20230409:0611,0.0,1.42,0.4,3.73,8.25,6.62,0.0
20230409:0711,0.0,29.91,6.0,12.65,8.58,6.76,0.0
20230409:0811,1.48,60.13,12.2,21.42,9.09,6.69,0.0
20230409:0911,8.99,101.08,20.8,29.59,9.87,7.72,0.0
20230409:1011,0.98,99.42,20.0,36.57,10.68,8.48,0.0
20230409:1111,0.0,97.21,19.5,41.65,11.17,9.1,0.0
20230409:1211,0.0,69.29,13.9,44.05,11.74,8.9,0.0
20230409:1311,0.0,65.8,13.2,43.3,11.82,8.34,0.0
20230409:1411,0.0,62.31,12.5,39.56,11.74,8.07,0.0
20230409:1511,0.0,47.36,9.5,33.48,11.8,7.31,0.0
20230409:1611,0.0,60.32,12.1,25.86,11.49,7.31,0.0
20230409:1711,0.0,20.94,4.2,17.35,11.26,6.9,0.0
20230409:1811,0.0,9.97,2.8,8.46,10.98,6.76,0.0
20230409:1911,0.0,0.0,0.0,0.0,10.62,7.03,0.0
20230409:2011,0.0,0.0,0.0,0.0,10.55,7.17,0.0
20230409:2111,0.0,0.0,0.0,0.0,10.47,7.31,0.0
20230409:2211,0.0,0.0,0.0,0.0,10.4,7.38,0.0
20230409:2311,0.0,0.0,0.0,0.0,10.3,6.62,0.0
20230410:0011,0.0,0.0,0.0,0.0,10.36,6.0,0.0
20230410:0111,0.0,0.0,0.0,0.0,10.1,5.03,0.0
20230410:0211,0.0,0.0,0.0,0.0,9.56,5.03,0.0
20230410:0311,0.0,0.0,0.0,0.0,9.13,5.1,0.0
20230410:0411,0.0,0.0,0.0,0.0,8.71,5.17,0.0
20230410:0511,0.0,0.0,0.0,0.0,8.25,5.17,0.0
20230410:0611,0.0,1.42,0.4,4.07,7.82,4.48,0.0
20230410:0711,0.0,22.93,4.6,12.99,8.39,3.72,0.0
20230410:0811,0.0,30.41,6.1,21.76,8.39,4.0,0.0
20230410:0911,253.15,130.39,45.0,29.94,8.13,4.34,0.0
20230410:1011,132.62,187.66,43.0,36.94,7.99,4.55,0.0
20230410:1111,20.01,153.45,31.6,42.03,9.13,4.9,0.0
20230410:1211,0.0,66.8,13.4,44.43,10.61,5.31,0.0
20230410:1311,305.33,225.96,59.2,43.66,10.51,5.93,0.0
20230410:1411,542.87,113.03,66.9,39.88,10.2,6.9,0.0
20230410:1511,387.67,115.69,54.7,33.78,9.86,6.69,0.0
20230410:1611,46.74,118.54,26.6,26.13,10.02,6.62,0.0
20230410:1711,16.8,70.3,16.1,17.6,9.37,6.9,0.0
20230410:1811,0.0,17.44,4.9,8.71,8.64,6.48,0.0
20230410:1911,0.0,0.0,0.0,0.0,8.36,6.76,0.0
20230410:2011,0.0,0.0,0.0,0.0,7.95,6.76,0.0
20230410:2111,0.0,0.0,0.0,0.0,7.48,6.69,0.0
20230410:2211,0.0,0.0,0.0,0.0,7.08,6.69,0.0
20230410:2311,0.0,0.0,0.0,0.0,6.83,6.55,0.0
20230411:0011,0.0,0.0,0.0,0.0,6.57,6.14,0.0
20230411:0111,0.0,0.0,0.0,0.0,6.27,5.72,0.0
20230411:0211,0.0,0.0,0.0,0.0,6.01,5.59,0.0
20230411:0311,0.0,0.0,0.0,0.0,5.75,5.31,0.0
20230411:0411,0.0,0.0,0.0,0.0,5.52,4.83,0.0
20230411:0511,0.0,0.0,0.0,0.0,5.33,4.21,0.0
20230411:0611,0.0,7.83,2.2,4.41,5.18,3.79,0.0
20230411:0711,31.94,40.16,18.2,13.33,5.93,3.31,0.0
20230411:0811,32.28,95.64,21.9,22.11,7.18,3.79,0.0
20230411:0911,9.52,105.75,21.8,30.29,8.38,4.76,0.0
20230411:1011,19.88,139.94,29.0,37.31,9.21,6.28,0.0
20230411:1111,4.94,129.87,26.3,42.4,9.17,6.69,0.0
20230411:1211,1.0,120.37,24.2,44.8,8.91,6.55,0.0
20230411:1311,0.0,76.27,15.3,44.01,9.4,7.24,0.0
20230411:1411,1.94,115.11,23.2,40.2,9.72,8.48,0.0
20230411:1511,0.0,60.32,12.1,34.07,9.6,8.9,0.0
20230411:1611,0.0,27.42,5.5,26.4,9.52,7.72,0.0
20230411:1711,0.0,39.38,7.9,17.86,8.94,5.45,0.0
20230411:1811,0.0,6.05,1.7,8.96,6.57,9.66,0.0
20230411:1911,0.0,0.0,0.0,0.0,5.99,8.9,0.0
20230411:2011,0.0,0.0,0.0,0.0,6.1,8.48,0.0
20230411:2111,0.0,0.0,0.0,0.0,5.66,8.41,0.0
20230411:2211,0.0,0.0,0.0,0.0,5.22,7.93,0.0
20230411:2311,0.0,0.0,0.0,0.0,4.78,7.72,0.0
20230412:0011,0.0,0.0,0.0,0.0,4.33,7.66,0.0
20230412:0111,0.0,0.0,0.0,0.0,4.05,7.52,0.0
20230412:0211,0.0,0.0,0.0,0.0,3.78,7.45,0.0
20230412:0311,0.0,0.0,0.0,0.0,3.63,7.38,0.0
20230412:0411,0.0,0.0,0.0,0.0,3.57,7.38,0.0
20230412:0511,0.0,0.0,0.0,0.0,3.78,7.79,0.0
20230412:0611,0.0,5.34,1.5,4.74,3.94,7.93,0.0
20230412:0711,0.0,26.92,5.4,13.66,4.41,4.76,0.0
20230412:0811,50.56,102.89,25.1,22.44,4.45,3.79,0.0
20230412:0911,91.79,150.6,35.3,30.64,4.63,3.93,0.0
20230412:1011,64.34,172.08,37.2,37.67,5.53,5.79,0.0
20230412:1111,55.52,185.17,39.2,42.78,6.53,6.97,0.0
20230412:1211,103.94,214.98,46.6,45.17,7.06,7.52,0.0
20230412:1311,121.13,216.94,47.7,44.36,6.1,7.31,0.0
20230412:1411,22.02,153.17,31.7,40.52,5.79,7.17,0.0
20230412:1511,0.0,65.8,13.2,34.36,6.09,10.48,0.0
20230412:1611,0.78,74.94,15.1,26.67,6.58,10.97,0.0
20230412:1711,1.06,50.06,10.2,18.11,7.03,11.52,0.0
20230412:1811,0.0,21.72,6.1,9.21,7.34,10.62,0.0
20230412:1911,0.0,0.0,0.0,0.0,7.48,8.9,0.0
20230412:2011,0.0,0.0,0.0,0.0,7.0,8.34,0.0
20230412:2111,0.0,0.0,0.0,0.0,6.7,8.34,0.0
20230412:2211,0.0,0.0,0.0,0.0,6.44,8.28,0.0
20230412:2311,0.0,0.0,0.0,0.0,6.19,8.21,0.0
20230413:0011,0.0,0.0,0.0,0.0,5.89,8.07,0.0
20230413:0111,0.0,0.0,0.0,0.0,5.8,8.0,0.0
20230413:0211,0.0,0.0,0.0,0.0,5.56,7.86,0.0
20230413:0311,0.0,0.0,0.0,0.0,5.43,7.66,0.0
20230413:0411,0.0,0.0,0.0,0.0,5.32,7.38,0.0
20230413:0511,0.0,0.0,0.0,0.0,5.35,7.17,0.0
20230413:0611,0.0,9.97,2.8,5.08,5.36,6.97,0.0
20230413:0711,35.68,35.85,20.7,13.99,5.78,6.48,0.0
20230413:0811,188.27,66.75,37.3,22.78,6.68,6.41,0.0
20230413:0911,322.94,100.6,50.7,30.99,8.02,7.45,0.0
20230413:1011,441.92,126.09,62.2,38.03,8.96,7.59,0.0
20230413:1111,484.49,162.54,68.4,43.14,9.8,7.1,0.0
20230413:1211,608.95,127.32,75.6,45.53,10.42,6.48,0.0
20230413:1311,560.89,140.71,72.7,44.71,11.18,6.14,0.0
20230413:1411,349.15,192.37,60.4,40.84,11.5,5.66,0.0
20230413:1511,275.47,159.5,51.4,34.65,11.65,5.24,0.0
20230413:1611,176.55,118.66,39.4,26.93,11.58,4.9,0.0
20230413:1711,75.34,68.72,25.8,18.37,10.88,4.97,0.0
20230413:1811,0.0,22.07,6.2,9.46,10.07,4.21,0.0
20230413:1911,0.0,0.0,0.0,0.0,9.09,2.83,0.0
20230413:2011,0.0,0.0,0.0,0.0,8.31,2.41,0.0
20230413:2111,0.0,0.0,0.0,0.0,7.49,2.48,0.0
20230413:2211,0.0,0.0,0.0,0.0,6.89,2.48,0.0
20230413:2311,0.0,0.0,0.0,0.0,6.42,2.28,0.0
20230414:0011,0.0,0.0,0.0,0.0,5.64,1.79,0.0
20230414:0111,0.0,0.0,0.0,0.0,4.93,1.31,0.0
20230414:0211,0.0,0.0,0.0,0.0,5.55,0.9,0.0
20230414:0311,0.0,0.0,0.0,0.0,5.94,0.62,0.0
20230414:0411,0.0,0.0,0.0,0.0,5.54,0.83,0.0
20230414:0511,0.0,0.0,0.0,0.0,3.85,1.52,0.0
20230414:0611,0.0,10.32,2.9,5.41,3.75,2.07,0.0
20230414:0711,32.25,38.08,20.8,14.32,5.04,1.72,0.0
20230414:0811,114.04,97.94,32.3,23.11,7.23,2.0,0.0
20230414:0911,267.13,125.22,48.4,31.33,8.4,2.83,0.0
20230414:1011,476.19,107.69,64.5,38.38,8.98,3.38,0.0
20230414:1111,508.52,147.56,69.8,43.51,9.71,3.52,0.0
20230414:1211,370.63,221.94,65.6,45.9,10.34,3.24,0.0
20230414:1311,192.88,232.4,54.5,45.05,10.77,3.1,0.0
20230414:1411,214.9,212.18,53.1,41.16,11.18,3.1,0.0
20230414:1511,117.18,174.68,41.2,34.93,11.17,2.97,0.0
20230414:1611,221.76,97.97,42.5,27.19,11.24,2.55,0.0
20230414:1711,64.32,72.77,25.2,18.62,10.41,2.83,0.0
20230414:1811,0.0,21.36,6.0,9.71,9.43,3.17,0.0
20230414:1911,0.0,0.0,0.0,0.0,9.45,3.72,0.0
20230414:2011,0.0,0.0,0.0,0.0,8.81,3.79,0.0
20230414:2111,0.0,0.0,0.0,0.0,8.27,3.66,0.0
20230414:2211,0.0,0.0,0.0,0.0,7.73,3.52,0.0
20230414:2311,0.0,0.0,0.0,0.0,7.05,3.52,0.0
20230415:0011,0.0,0.0,0.0,0.0,6.47,3.45,0.0
20230415:0111,0.0,0.0,0.0,0.0,5.82,3.52,0.0
20230415:0211,0.0,0.0,0.0,0.0,5.4,3.45,0.0
20230415:0311,0.0,0.0,0.0,0.0,5.04,3.17,0.0
20230415:0411,0.0,0.0,0.0,0.0,4.7,2.9,0.0
20230415:0511,0.0,0.0,0.0,0.0,4.38,2.62,0.0
20230415:0611,0.0,11.39,3.2,5.73,4.17,2.28,0.0
20230415:0711,30.84,37.58,21.2,14.64,5.11,1.66,0.0
20230415:0811,176.74,68.36,37.5,23.44,6.91,1.45,0.0
20230415:0911,298.57,107.76,50.4,31.67,8.41,0.83,0.0
20230415:1011,430.91,124.48,62.5,38.73,9.62,0.62,0.0
20230415:1111,593.69,101.62,74.2,43.87,10.62,1.93,0.0
20230415:1211,447.03,194.4,69.4,46.26,11.38,3.03,0.0
20230415:1311,79.58,204.35,44.1,45.4,11.86,3.66,0.0
20230415:1411,89.89,194.53,42.9,41.47,12.13,4.21,0.0
20230415:1511,14.51,128.75,26.7,35.22,12.07,4.76,0.0
20230415:1611,0.0,63.81,12.8,27.46,11.83,4.76,0.0
20230415:1711,0.0,38.88,7.8,18.87,11.05,4.34,0.0
20230415:1811,0.0,6.05,1.7,9.96,10.47,4.48,0.0
20230415:1911,0.0,0.0,0.0,0.0,9.95,4.62,0.0
20230415:2011,0.0,0.0,0.0,0.0,9.35,4.34,0.0
20230415:2111,0.0,0.0,0.0,0.0,8.91,4.69,0.0
20230415:2211,0.0,0.0,0.0,0.0,8.54,4.76,0.0
20230415:2311,0.0,0.0,0.0,0.0,8.53,5.1,0.0
20230416:0011,0.0,0.0,0.0,0.0,8.77,5.03,0.0
20230416:0111,0.0,0.0,0.0,0.0,8.99,4.76,0.0
20230416:0211,0.0,0.0,0.0,0.0,9.23,4.14,0.0
20230416:0311,0.0,0.0,0.0,0.0,9.4,3.86,0.0
20230416:0411,0.0,0.0,0.0,0.0,9.6,3.59,0.0
20230416:0511,0.0,0.0,0.0,0.0,9.76,3.17,0.0
20230416:0611,0.0,10.32,2.9,6.06,9.96,2.69,0.0
20230416:0711,0.41,39.93,8.2,14.97,10.35,2.9,0.0
20230416:0811,1.23,65.55,13.3,23.77,11.1,2.97,0.0
20230416:0911,58.5,143.58,32.6,32.0,11.79,3.17,0.0
20230416:1011,1.76,105.57,21.3,39.08,12.68,3.17,0.0
20230416:1111,59.16,187.99,40.3,44.23,13.42,2.62,0.0
20230416:1211,388.79,204.87,66.2,46.62,14.46,2.28,0.0
20230416:1311,538.74,132.18,72.1,45.74,15.05,2.07,0.0
20230416:1411,497.46,113.29,67.6,41.78,15.18,2.55,0.0
20230416:1511,157.75,172.33,44.5,35.5,14.85,3.1,0.0
20230416:1611,190.3,103.49,40.9,27.72,14.63,3.38,0.0
20230416:1711,70.89,64.16,26.5,19.11,14.17,3.31,0.0
20230416:1811,0.0,24.56,6.9,10.2,13.7,3.59,0.0
20230416:1911,0.0,0.0,0.0,0.0,13.36,3.72,0.0
20230416:2011,0.0,0.0,0.0,0.0,12.53,3.79,0.0
20230416:2111,0.0,0.0,0.0,0.0,11.82,3.79,0.0
20230416:2211,0.0,0.0,0.0,0.0,11.31,3.59,0.0
20230416:2311,0.0,0.0,0.0,0.0,10.85,3.38,0.0
20230417:0011,0.0,0.0,0.0,0.0,10.5,3.03,0.0
20230417:0111,0.0,0.0,0.0,0.0,10.21,2.76,0.0
20230417:0211,0.0,0.0,0.0,0.0,9.73,2.55,0.0
20230417:0311,0.0,0.0,0.0,0.0,9.21,2.69,0.0
20230417:0411,0.0,0.0,0.0,0.0,8.79,2.83,0.0
20230417:0511,0.0,0.0,0.0,0.0,8.55,2.9,0.0
20230417:0611,0.0,11.04,3.1,6.38,8.74,2.76,0.0
20230417:0711,1.51,50.57,10.9,15.28,10.02,2.21,0.0
20230417:0811,100.08,100.39,32.4,24.09,10.93,2.0,0.0
20230417:0911,302.87,100.18,51.5,32.34,12.09,2.0,0.0
20230417:1011,238.34,188.73,53.3,39.43,13.31,2.41,0.0
20230417:1111,541.14,119.11,72.4,44.59,14.15,3.03,0.0
20230417:1211,598.8,114.28,76.7,46.98,14.67,3.38,0.0
20230417:1311,366.64,207.57,65.4,46.07,15.0,3.24,0.0
20230417:1411,203.36,208.97,53.0,42.09,15.19,3.45,0.0
20230417:1511,89.12,168.97,39.1,35.78,14.54,3.72,0.0
20230417:1611,206.14,96.56,42.7,27.97,13.88,3.52,0.0
20230417:1711,89.08,52.58,29.5,19.36,13.08,2.97,0.0
20230417:1811,0.0,24.56,6.9,10.45,12.42,2.48,0.0
20230417:1911,0.0,0.0,0.0,0.0,11.68,1.93,0.0
20230417:2011,0.0,0.0,0.0,0.0,11.2,1.79,0.0
20230417:2111,0.0,0.0,0.0,0.0,10.95,1.86,0.0
20230417:2211,0.0,0.0,0.0,0.0,10.72,1.93,0.0
20230417:2311,0.0,0.0,0.0,0.0,10.62,1.79,0.0
20230418:0011,0.0,0.0,0.0,0.0,10.61,1.59,0.0
20230418:0111,0.0,0.0,0.0,0.0,10.49,1.59,0.0
20230418:0211,0.0,0.0,0.0,0.0,10.32,1.86,0.0
20230418:0311,0.0,0.0,0.0,0.0,10.15,2.28,0.0
20230418:0411,0.0,0.0,0.0,0.0,10.12,2.69,0.0
20230418:0511,0.0,0.0,0.0,0.0,10.06,2.76,0.0
20230418:0611,0.0,12.46,3.5,6.69,9.95,2.69,0.0
20230418:0711,6.27,59.21,15.3,15.6,10.18,2.69,0.0
20230418:0811,70.09,108.48,30.1,24.41,10.82,3.52,0.0
20230418:0911,197.62,145.51,46.2,32.67,11.09,4.07,0.0
20230418:1011,246.07,189.81,54.6,39.77,11.16,4.21,0.0
20230418:1111,106.31,211.4,47.2,44.94,11.23,4.14,0.0
20230418:1211,22.04,171.06,35.4,47.33,11.6,4.14,0.0
20230418:1311,93.02,212.81,46.7,46.41,11.74,4.41,0.0
20230418:1411,284.12,200.79,58.8,42.39,11.74,4.83,0.0
20230418:1511,329.46,127.05,56.3,36.05,11.67,4.9,0.0
20230418:1611,250.43,74.23,46.6,28.23,11.6,4.83,0.0
20230418:1711,76.15,59.84,28.7,19.61,11.54,4.76,0.0
20230418:1811,0.0,24.21,6.8,10.69,11.28,4.69,0.0
20230418:1911,0.0,0.71,0.2,1.9,10.82,4.97,0.0
20230418:2011,0.0,0.0,0.0,0.0,10.5,5.45,0.0
20230418:2111,0.0,0.0,0.0,0.0,10.36,5.72,0.0
20230418:2211,0.0,0.0,0.0,0.0,10.15,5.86,0.0
20230418:2311,0.0,0.0,0.0,0.0,9.77,6.07,0.0
20230419:0011,0.0,0.0,0.0,0.0,9.24,6.21,0.0
20230419:0111,0.0,0.0,0.0,0.0,8.6,6.21,0.0
20230419:0211,0.0,0.0,0.0,0.0,8.01,6.14,0.0
20230419:0311,0.0,0.0,0.0,0.0,7.63,5.93,0.0
20230419:0411,0.0,0.0,0.0,0.0,7.52,5.79,0.0
20230419:0511,0.0,0.0,0.0,0.0,7.53,5.72,0.0
20230419:0611,0.0,13.17,3.7,7.0,7.82,5.79,0.0
20230419:0711,1.44,52.51,11.4,15.91,7.97,6.9,0.0
20230419:0811,11.96,94.45,20.4,24.72,8.36,6.9,0.0
20230419:0911,2.25,97.23,19.7,32.99,8.87,6.97,0.0
20230419:1011,1.68,110.55,22.3,40.11,9.23,6.9,0.0
20230419:1111,14.23,156.59,32.2,45.29,9.76,6.69,0.0
20230419:1211,175.12,235.44,55.4,47.68,10.05,6.21,0.0
20230419:1311,471.94,167.84,71.8,46.74,10.75,5.86,0.0
20230419:1411,204.75,211.85,54.3,42.7,11.37,5.38,0.0
20230419:1511,92.58,172.52,40.4,36.33,11.65,5.38,0.0
20230419:1611,67.83,130.91,32.5,28.48,11.71,5.38,0.0
20230419:1711,11.28,77.56,17.9,19.85,11.7,5.38,0.0
20230419:1811,0.0,26.34,7.4,10.93,11.37,5.45,0.0
20230419:1911,0.0,0.36,0.1,2.15,11.18,5.66,0.0
20230419:2011,0.0,0.0,0.0,0.0,10.85,6.28,0.0
20230419:2111,0.0,0.0,0.0,0.0,10.45,6.55,0.0
20230419:2211,0.0,0.0,0.0,0.0,9.98,6.41,0.0
20230419:2311,0.0,0.0,0.0,0.0,9.44,6.28,0.0
20230420:0011,0.0,0.0,0.0,0.0,8.85,5.79,0.0
20230420:0111,0.0,0.0,0.0,0.0,8.21,5.31,0.0
20230420:0211,0.0,0.0,0.0,0.0,7.82,5.03,0.0
20230420:0311,0.0,0.0,0.0,0.0,7.43,5.03,0.0
20230420:0411,0.0,0.0,0.0,0.0,7.17,5.17,0.0
20230420:0511,0.0,0.0,0.0,0.0,6.88,5.31,0.0
20230420:0611,0.0,14.24,4.0,7.31,6.79,5.52,0.0
20230420:0711,17.01,51.27,21.8,16.22,7.36,5.72,0.0
20230420:0811,169.29,68.86,40.6,25.04,7.96,6.21,0.0
20230420:0911,268.97,120.14,52.2,33.31,8.61,6.34,0.0
20230420:1011,441.05,115.17,66.6,40.45,9.3,6.28,0.0
20230420:1111,576.31,103.83,77.1,45.64,9.99,6.21,0.0
20230420:1211,620.36,105.5,80.7,48.02,10.6,6.0,0.0
20230420:1311,616.45,97.0,79.9,47.07,11.04,5.72,0.0
20230420:1411,527.18,100.03,72.9,43.0,11.25,5.59,0.0
20230420:1511,360.34,111.77,59.6,36.6,11.27,5.59,0.0
20230420:1611,252.18,72.07,48.5,28.74,11.22,5.45,0.0
20230420:1711,80.17,54.48,30.9,20.09,11.12,5.38,0.0
20230420:1811,0.0,23.14,6.5,11.17,10.83,4.97,0.0
20230420:1911,0.0,1.42,0.4,2.39,10.33,5.31,0.0
20230420:2011,0.0,0.0,0.0,0.0,9.8,5.52,0.0
20230420:2111,0.0,0.0,0.0,0.0,9.48,5.86,0.0
20230420:2211,0.0,0.0,0.0,0.0,9.11,6.07,0.0
20230420:2311,0.0,0.0,0.0,0.0,8.71,5.93,0.0
20230421:0011,0.0,0.0,0.0,0.0,8.34,5.93,0.0
20230421:0111,0.0,0.0,0.0,0.0,8.07,6.07,0.0
20230421:0211,0.0,0.0,0.0,0.0,7.85,6.0,0.0
